═══════════════════════════════════════════════════
📊 로그 디지스트 — 최근 20분 (2026-04-14 09:30:01 KST)
═══════════════════════════════════════════════════

═══ 봇 헬스체크 (09:30:04) ═══
상태       : ✅ OK
컨테이너   : running
마지막 로그: 2026-04-14 00:29:55
Heartbeat  : 23초 전
시그널 평가: 00:29:13
활성 포지션: 0개
자동매매   : on
잔고       : $244.68
학습 상태  : idle

── 🎯 트레이딩 이벤트 ──
bot-1  | 2026-04-14 00:10:08 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $239.11 × 90% = margin $215.20 | 25x | SL $356.6 (12.0% 마진 손실) | TP1 $594.4 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:10:08 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74294 SL $74651 TP1 $73700 TP2 $73106 TP3 $71917
bot-1  | 2026-04-14 00:10:33 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $239.29 × 90% = margin $215.36 | 25x | SL $356.6 (12.0% 마진 손실) | TP1 $594.4 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:10:33 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74297 SL $74654 TP1 $73703 TP2 $73109 TP3 $71920
bot-1  | 2026-04-14 00:10:48 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $239.49 × 90% = margin $215.54 | 25x | SL $356.7 (12.0% 마진 손실) | TP1 $594.4 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:10:48 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74303 SL $74659 TP1 $73708 TP2 $73114 TP3 $71925
bot-1  | 2026-04-14 00:11:02 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $239.49 × 90% = margin $215.54 | 25x | SL $356.6 (12.0% 마진 손실) | TP1 $594.3 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:11:02 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74285 SL $74642 TP1 $73691 TP2 $73097 TP3 $71908
bot-1  | 2026-04-14 00:11:17 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $241.36 × 90% = margin $217.23 | 25x | SL $356.5 (12.0% 마진 손실) | TP1 $594.2 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:11:17 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74277 SL $74633 TP1 $73682 TP2 $73088 TP3 $71900
bot-1  | 2026-04-14 00:11:32 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $241.36 × 90% = margin $217.23 | 25x | SL $356.5 (12.0% 마진 손실) | TP1 $594.1 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:11:32 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74267 SL $74624 TP1 $73673 TP2 $73079 TP3 $71891
bot-1  | 2026-04-14 00:11:46 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $241.36 × 90% = margin $217.23 | 25x | SL $356.4 (12.0% 마진 손실) | TP1 $593.9 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:11:46 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74240 SL $74597 TP1 $73646 TP2 $73052 TP3 $71865
bot-1  | 2026-04-14 00:12:01 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $245.21 × 90% = margin $220.69 | 25x | SL $356.3 (12.0% 마진 손실) | TP1 $593.8 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:12:01 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74230 SL $74586 TP1 $73636 TP2 $73042 TP3 $71854
bot-1  | 2026-04-14 00:12:35 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $242.76 × 90% = margin $218.49 | 25x | SL $356.4 (12.0% 마진 손실) | TP1 $594.0 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:12:35 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74256 SL $74612 TP1 $73662 TP2 $73068 TP3 $71880
bot-1  | 2026-04-14 00:14:11 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $241.89 × 90% = margin $217.70 | 25x | SL $356.5 (12.0% 마진 손실) | TP1 $594.2 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:14:11 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74270 SL $74627 TP1 $73676 TP2 $73082 TP3 $71893
bot-1  | 2026-04-14 00:14:36 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $241.89 × 90% = margin $217.70 | 25x | SL $356.5 (12.0% 마진 손실) | TP1 $594.2 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:14:36 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74270 SL $74627 TP1 $73676 TP2 $73082 TP3 $71894
bot-1  | 2026-04-14 00:14:50 [INFO] CryptoAnalyzer: [SCALP-SIZING] balance $241.09 × 90% = margin $216.98 | 25x | SL $356.5 (12.0% 마진 손실) | TP1 $594.2 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:14:50 [INFO] CryptoAnalyzer: [SCALP] SHORT @ $74278 SL $74635 TP1 $73684 TP2 $73090 TP3 $71901
bot-1  | 2026-04-14 00:16:15 [INFO] CryptoAnalyzer: [SWING-SIZING] balance $237.50 × 90% = margin $213.75 | 10x | SL $891.9 (1.200% 가격 = 12.0% 마진 손실) | TP1 $1486.5 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:16:15 [INFO] CryptoAnalyzer: [SWING] C+ LONG @ $74327 SL $73435 TP1 $75813 TP2 $77300 TP3 $80273
bot-1  | 2026-04-14 00:17:20 [INFO] CryptoAnalyzer: [SWING-SIZING] balance $234.93 × 90% = margin $211.44 | 10x | SL $892.4 (1.200% 가격 = 12.0% 마진 손실) | TP1 $1487.4 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:17:20 [INFO] CryptoAnalyzer: [SWING] C+ LONG @ $74370 SL $73477 TP1 $75857 TP2 $77345 TP3 $80319
bot-1  | 2026-04-14 00:18:25 [INFO] CryptoAnalyzer: [SWING-SIZING] balance $232.70 × 90% = margin $209.43 | 10x | SL $892.9 (1.200% 가격 = 12.0% 마진 손실) | TP1 $1488.1 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:18:25 [INFO] CryptoAnalyzer: [SWING] C+ LONG @ $74405 SL $73512 TP1 $75893 TP2 $77381 TP3 $80357
bot-1  | 2026-04-14 00:19:30 [INFO] CryptoAnalyzer: [SWING-SIZING] balance $235.81 × 90% = margin $212.23 | 10x | SL $892.2 (1.200% 가격 = 12.0% 마진 손실) | TP1 $1487.0 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:19:30 [INFO] CryptoAnalyzer: [SWING] C+ LONG @ $74351 SL $73459 TP1 $75838 TP2 $77325 TP3 $80299
bot-1  | 2026-04-14 00:20:35 [INFO] CryptoAnalyzer: [SWING-SIZING] balance $235.42 × 90% = margin $211.88 | 10x | SL $892.3 (1.200% 가격 = 12.0% 마진 손실) | TP1 $1487.2 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:20:35 [INFO] CryptoAnalyzer: [SWING] C+ LONG @ $74359 SL $73467 TP1 $75847 TP2 $77334 TP3 $80308
bot-1  | 2026-04-14 00:21:40 [INFO] CryptoAnalyzer: [SWING-SIZING] balance $240.20 × 90% = margin $216.18 | 10x | SL $891.5 (1.200% 가격 = 12.0% 마진 손실) | TP1 $1485.9 (20.0% 마진 익절)
bot-1  | 2026-04-14 00:21:40 [INFO] CryptoAnalyzer: [SWING] C+ LONG @ $74294 SL $73403 TP1 $75780 TP2 $77266 TP3 $80238
